	Pinyin	Definition	Radical	Stroke count	HSK level	Frequency rank
就	jiù	just, simply; to come, go to; to approach, near	尢	12	2	27
可	kě	may, can, -able; possibly	口	5	2	30
也	yě	also; classical final particle of strong affirmation or identity	乙	3	2	31
得	dé	obtain, get, gain, acquire	彳	11	2	39
着	zhe	make move, take action	目	11	2	41
过	guò	pass, pass through, go across	辵	6	2	46
道	dào	path, road, street; method, way	辵	12	2	52
所	suǒ	place, location; numerary adjunct	戶	8	2	54
然	rán	yes, certainly; pledge, promise	火	12	2	55
事	shì	affair, matter, business; to serve; accident, incident	亅	8	2	58
经	jīng	classic works; pass through	糸	8	2	62
动	dòng	move, happen; movement, action	力	6	2	73
还	hái	still, yet, also, besides	辵	7	2	80
进	jìn	advance, make progress, enter	辵	7	2	81
但	dàn	only; but, however, yet, still	人	7	2	95
因	yīn	cause, reason; by; because (of)	囗	6	2	96
从	cóng	from, by, since, whence, through	人	4	2	98
日	rì	sun; day; daytime	日	4	2	101
意	yì	thought, idea, opinion; think	心	13	2	104
它	tā	it; other	宀	5	2	107
长	zhǎng	long; length; excel in; leader	長	4	2	109
第	dì	sequence, number; grade, degree	竹	11	2	114
公	gōng	fair, equitable; public; duke	八	4	2	115
已	yǐ	already; finished; stop	己	3	2	117
情	qíng	feeling, sentiment, emotion	心	11	2	120
知	zhī	know, perceive, comprehend	矢	8	2	123
正	zhèng	right, proper, correct	止	5	2	129
外	wài	out, outside, external; foreign	夕	5	2	131
两	liǎng	two, both, pair, couple; ounce	一	7	2	133
间	jiān	midpoint, space; place, locality	門	7	2	135
问	wèn	ask about, inquire after	門	6	2	137
最	zuì	most, extremely, exceedingly	曰	12	2	139
手	shǒu	hand	手	4	2	143
体	tǐ	body; group, class, body, unit; inferior	人	7	2	149
等	děng		竹	12	2	158
新	xīn	new, recent, fresh, modern	斤	13	2	161
身	shēn	body; trunk, hull; rad. no. 158	身	7	2	164
表	biǎo	show, express, manifest, display	衣	8	2	177
给	gěi	give; by, for	糸	9	2	180
次	cì	order, sequence; next	欠	6	2	183
门	mén	gate, door, entrance, opening	門	3	2	185
常	cháng	common, normal, frequent, regular	巾	11	2	187
教	jiào	teach, class	攴	11	2	191
比	bǐ	to compare, liken; comparison; than	比	4	2	199
员	yuán	member; personnel, staff member	口	7	2	200
真	zhēn	real, actual, true, genuine	目	10	2	204
走	zǒu	walk, go on foot; run; leave	走	7	2	207
条	tiáo	clause, condition; string, stripe	木	7	2	214
题	tí	forehead; title, headline; theme	頁	15	2	218
别	bié	separate, other; do not	刀	7	2	222
报	bào	report, tell, announce	手	7	2	234
务	wù	affairs, business; must, should	夂	5	2	245
场	chǎng	open space, field, market	土	6	2	249
件	jiàn	numerary adjunct for article; matter	人	6	2	250
便	biàn	convenience, ease; expedient	人	9	2	271
司	sī	take charge of, control, manage; officer	口	5	2	278
眼	yǎn	eye; eyelet, hole, opening	目	11	2	281
非	fēi	not, negative, non-; oppose	非	8	2	283
白	bái	white; pure, unblemished; bright	白	5	2	286
思	sī	think, consider, ponder; final particle	心	9	2	298
完	wán	complete, finish, settle; whole	宀	7	2	301
色	sè	color, tint, hue, shade; form, body; beauty, desire for beauty	色	6	2	304
路	lù	road, path, street; journey	足	13	2	305
告	gào	tell, announce, inform; accuse	口	7	2	310
边	biān	edge, margin, side, border	辵	5	2	316
望	wàng	to look at, look forward; to hope, expect	月	11	2	326
共	gòng	together with, all, total; to share	八	6	2	330
让	ràng	allow, permit, yield, concede	言	5	2	339
运	yùn	run; simplified form of 運 luck, fortune; ship, transport	辵	7	2	345
笑	xiào	smile, laugh, giggle; snicker	竹	10	2	346
步	bù	step, pace; walk, stroll	止	7	2	349
每	měi	every, each	毋	7	2	359
快	kuài	rapid, quick, speedy, fast; soon	心	7	2	366
往	wǎng	go, depart; past, formerly	彳	8	2	369
近	jìn	near, close; approach; intimate	辵	7	2	374
夫	fū	man, male adult, husband; those	大	4	2	377
准	zhǔn	approve, allow, permit; in accord	冫	10	2	379
始	shǐ	begin, start; then, only then	女	8	2	381
远	yuǎn	distant, remote, far; profound	辵	7	2	386
备	bèi	prepare, ready, perfect	夂	8	2	397
百	bǎi	one hundred; numerous, many	白	6	2	407
离	lí	rare beast; strange; elegant	禸	10	2	418
病	bìng	illness, sickness, disease	疒	10	2	427
息	xī	rest, put stop to, end, cease	心	10	2	428
火	huǒ	fire, flame; burn; anger, rage	火	4	2	433
早	zǎo	early; soon; morning	日	6	2	462
找	zhǎo	search, seek, look for; find	手	7	2	466
吧	ba	emphatic final particle	口	7	2	470
考	kǎo	examine, test; investigate	老	6	2	495
红	hóng	red, vermillion; blush, flush	糸	6	2	502
虽	suī	although, even if	虫	9	2	504
希	xī	rare; hope, expect, strive for	巾	7	2	508
房	fáng	house, building; room	戶	8	2	512
黑	hēi	black; dark; evil, sinister	黑	12	2	519
足	zú	foot; attain, satisfy, enough	足	7	2	527
孩	hái	baby, child; children	子	9	2	533
